Date,AGRO3.SA,B3SA3.SA,COCA34.SA,CPLE6.SA,CYRE3.SA,TAEE11.SA,VALE3.SA
2021-03-11,17.08,17.03,44.58,4.51,21.31,26.2,79.08
2021-03-12,17.06,16.62,44.28,4.64,21.7,26.12,77.25
2021-03-15,17.71,16.16,45.22,4.97,22.08,26.72,76.79
2021-03-16,17.67,15.76,45.2,5.06,21.27,27.13,76.55
2021-03-17,17.92,15.91,45.01,5.14,22.57,28.22,77.65
2021-03-18,17.44,16.14,44.38,5.11,21.63,27.8,76.27
2021-03-19,17.6,16.71,43.58,5.14,22.18,28.33,75.17
2021-03-22,17.67,16.53,44.09,5.22,22.3,28.3,73.93
2021-03-23,17.23,16.27,44.45,5.21,21.93,28.56,72.22
2021-03-24,17.19,16.16,45.67,5.02,20.9,28.25,73.88
2021-03-25,16.79,16.33,46.35,5.05,21.53,28.29,73.32
2021-03-26,16.88,16.4,47.58,5.14,21.08,28.54,75.77
2021-03-29,16.74,16.31,48.81,5.19,20.54,30.34,77.71
2021-03-30,17.07,16.28,48.48,5.2,21.84,30.98,76.99
2021-03-31,17.5,16.62,46.99,5.25,21.94,30.77,77.7
2021-04-01,17.66,16.32,47.25,5.09,21.48,29.96,77.24
2021-04-05,17.89,16.53,47.1,5.05,22.13,30.56,82.0
2021-04-06,18.39,16.76,46.76,5.06,22.34,30.73,80.94
2021-04-07,18.27,16.72,47.11,5.06,22.06,31.31,82.93
2021-04-08,18.6,17.0,46.53,5.03,22.42,31.37,82.88
2021-04-09,19.22,16.81,47.41,5.0,22.8,30.75,81.69
2021-04-12,19.68,16.97,48.01,4.95,22.81,30.94,82.01
2021-04-13,19.45,16.83,47.85,4.99,22.71,30.95,82.15
2021-04-14,19.8,16.75,47.09,5.04,22.78,31.09,84.87
2021-04-15,20.41,16.61,47.25,5.14,22.49,31.02,85.83
2021-04-16,21.49,16.86,47.15,5.24,22.81,31.74,86.19
2021-04-19,22.88,16.54,47.07,5.28,22.34,32.27,85.44
2021-04-20,23.0,16.35,47.25,5.33,22.51,32.4,84.2
2021-04-22,23.35,16.24,46.69,5.17,22.42,32.38,84.25
2021-04-23,23.34,16.35,47.1,5.21,22.69,32.16,85.65
2021-04-26,22.69,16.13,45.86,5.19,22.83,32.26,86.11
2021-04-27,22.75,16.12,46.42,5.18,22.63,32.16,87.34
2021-04-28,23.65,16.31,45.44,5.1,22.75,32.09,88.77
2021-04-29,25.05,15.99,45.55,5.11,22.39,32.37,88.79
2021-04-30,26.54,15.67,46.0,5.08,21.88,33.05,86.47
2021-05-03,26.85,15.67,46.57,4.97,21.86,33.42,86.02
2021-05-04,26.38,15.42,46.21,4.87,21.66,33.36,87.32
2021-05-05,27.83,15.67,45.71,4.89,21.67,32.97,87.81
2021-05-06,27.09,15.46,45.25,4.85,21.95,32.22,91.25
2021-05-07,26.89,16.23,44.66,4.88,22.42,32.06,91.57
2021-05-10,26.19,16.22,45.15,4.82,22.01,31.38,90.96
2021-05-11,25.68,16.08,44.77,4.86,21.67,31.45,94.16
2021-05-12,25.36,15.67,44.73,4.68,21.13,30.74,90.68
2021-05-13,25.21,15.75,45.57,4.7,21.68,31.33,89.22
2021-05-14,25.04,16.3,45.4,4.73,22.06,32.99,87.69
2021-05-17,24.87,16.05,45.25,4.82,22.69,33.41,89.99
2021-05-18,24.81,15.8,45.2,4.89,22.38,33.47,90.89
2021-05-19,24.34,15.72,45.2,4.89,21.48,33.39,89.03
2021-05-20,24.34,15.75,45.25,4.95,21.57,33.5,88.13
2021-05-21,23.63,15.84,45.91,4.93,20.41,33.62,86.77
